date,shift_type,day_type,actual_sales,target_labour_pct,actual_labour_pct,target_labour_cost,actual_labour_cost,labour_variance,scheduled_staff,actual_staff,labour_hours,is_holiday
2024-01-10,Late Night,Weekday,811.78,0.23,0.2154,186.71,174.86,-11.85,3,2,8,False
2024-01-10,Overnight,Weekday,639.22,0.23,0.246,147.02,157.25,10.23,2,2,8,False
2024-01-11,Opening,Weekday,217.82,0.23,0.2225,50.1,48.46,-1.64,1,1,4,False
2024-01-11,Early Breakfast,Weekday,1102.8,0.23,0.2228,253.64,245.7,-7.94,4,4,16,False
2024-01-11,Late Breakfast,Weekday,1191.4,0.23,0.2209,274.02,263.18,-10.84,4,4,16,False
2024-01-11,Lunch,Weekday,1176.65,0.23,0.2376,270.63,279.57,8.94,4,4,16,False
2024-01-11,Afternoon,Weekday,947.46,0.23,0.245,217.92,232.13,14.21,3,3,12,False
2024-01-11,Dinner,Weekday,1196.45,0.23,0.2228,275.18,266.57,-8.61,4,4,16,False
2024-01-11,Late Night,Weekday,830.81,0.23,0.2483,191.09,206.29,15.2,3,3,12,False
2024-01-11,Overnight,Weekday,656.43,0.23,0.2288,150.98,150.19,-0.79,2,2,8,False
2024-01-12,Opening,Friday,274.79,0.23,0.1944,63.2,53.42,-9.78,1,1,4,False
2024-01-12,Early Breakfast,Friday,1244.96,0.23,0.2234,286.34,278.12,-8.22,4,4,16,False
2024-01-12,Late Breakfast,Friday,1488.55,0.23,0.2013,342.37,299.65,-42.72,5,4,16,False
2024-01-12,Lunch,Friday,1620.04,0.23,0.2109,372.61,341.67,-30.94,5,5,20,False
2024-01-12,Afternoon,Friday,1442.3,0.23,0.229,331.73,330.29,-1.44,5,5,20,False
2024-01-12,Dinner,Friday,1824.4,0.23,0.193,419.61,352.11,-67.5,6,5,20,False
2024-01-12,Late Night,Friday,1104.19,0.23,0.1935,253.96,213.66,-40.3,4,3,12,False
2024-01-12,Overnight,Friday,840.66,0.23,0.1964,193.35,165.11,-28.24,3,2,8,False
2024-01-13,Opening,Weekend,317.97,0.23,0.22,73.13,69.95,-3.18,1,1,4,False
2024-01-13,Early Breakfast,Weekend,1267.72,0.23,0.1812,291.58,229.71,-61.87,4,3,12,False
2024-01-13,Late Breakfast,Weekend,1591.1,0.23,0.2207,365.95,351.16,-14.79,5,5,20,False
2024-01-13,Lunch,Weekend,2203.03,0.23,0.1954,506.7,430.47,-76.23,7,6,24,False
2024-01-13,Afternoon,Weekend,2070.83,0.23,0.1953,476.29,404.43,-71.86,7,6,24,False
2024-01-13,Dinner,Weekend,2023.28,0.23,0.2291,465.35,463.53,-1.82,7,7,28,False
2024-01-13,Late Night,Weekend,1267.94,0.23,0.2293,291.63,290.74,-0.89,4,4,16,False
2024-01-13,Overnight,Weekend,1097.58,0.23,0.2108,252.44,231.37,-21.07,4,3,12,False
2024-01-14,Opening,Weekend,320.23,0.23,0.1929,73.65,61.77,-11.88,1,1,4,False
2024-01-14,Early Breakfast,Weekend,1360.38,0.23,0.1911,312.89,259.97,-52.92,4,4,16,False
2024-01-14,Late Breakfast,Weekend,1802.88,0.23,0.2255,414.66,406.55,-8.11,6,6,24,False
2024-01-14,Lunch,Weekend,2040.95,0.23,0.2181,469.42,445.13,-24.29,7,6,24,False
2024-01-14,Afternoon,Weekend,2295.0,0.23,0.2096,527.85,481.03,-46.82,8,7,28,False
2024-01-14,Dinner,Weekend,2148.56,0.23,0.1976,494.17,424.56,-69.61,7,6,24,False
2024-01-14,Late Night,Weekend,1222.4,0.23,0.2177,281.15,266.12,-15.03,4,4,16,False
2024-01-14,Overnight,Weekend,923.13,0.23,0.1832,212.32,169.12,-43.2,3,2,8,False
2024-01-15,Opening,Weekday,197.04,0.23,0.2289,45.32,45.1,-0.22,1,1,4,False
2024-01-15,Early Breakfast,Weekday,1110.17,0.23,0.2263,255.34,251.23,-4.11,4,4,16,False
2024-01-15,Late Breakfast,Weekday,1171.65,0.23,0.2232,269.48,261.51,-7.97,4,4,16,False
2024-01-15,Lunch,Weekday,1169.93,0.23,0.238,269.08,278.44,9.36,4,4,16,False
2024-01-15,Afternoon,Weekday,907.85,0.23,0.2191,208.81,198.91,-9.9,3,3,12,False
2024-01-15,Dinner,Weekday,1164.6,0.23,0.2308,267.86,268.79,0.93,4,4,16,False
2024-01-15,Late Night,Weekday,820.83,0.23,0.2117,188.79,173.77,-15.02,3,2,8,False
2024-01-15,Overnight,Weekday,716.98,0.23,0.2151,164.91,154.22,-10.69,2,2,8,False
2024-01-16,Opening,Weekday,194.67,0.23,0.2378,44.77,46.29,1.52,1,1,4,False
2024-01-16,Early Breakfast,Weekday,982.0,0.23,0.2213,225.86,217.32,-8.54,3,3,12,False
2024-01-16,Late Breakfast,Weekday,1094.06,0.23,0.237,251.63,259.29,7.66,4,4,16,False
2024-01-16,Lunch,Weekday,1108.3,0.23,0.2429,254.91,269.21,14.3,4,4,16,False
2024-01-16,Afternoon,Weekday,966.52,0.23,0.2151,222.3,207.9,-14.4,3,3,12,False
2024-01-16,Dinner,Weekday,1066.08,0.23,0.2419,245.2,257.88,12.68,4,4,16,False
2024-01-16,Late Night,Weekday,781.27,0.23,0.2374,179.69,185.47,5.78,3,3,12,False
2024-01-16,Overnight,Weekday,669.93,0.23,0.2164,154.08,144.97,-9.11,2,2,8,False
2024-01-17,Opening,Weekday,207.75,0.23,0.2418,47.78,50.23,2.45,1,1,4,False
2024-01-17,Early Breakfast,Weekday,926.36,0.23,0.2494,213.06,231.03,17.97,3,3,12,False
2024-01-17,Late Breakfast,Weekday,1138.26,0.23,0.2236,261.8,254.51,-7.29,4,4,16,False
2024-01-17,Lunch,Weekday,1207.15,0.23,0.2109,277.64,254.59,-23.05,4,4,16,False
2024-01-17,Afternoon,Weekday,979.81,0.23,0.2271,225.36,222.51,-2.85,3,3,12,False
2024-01-17,Dinner,Weekday,1071.54,0.23,0.2193,246.45,234.99,-11.46,4,3,12,False
2024-01-17,Late Night,Weekday,895.38,0.23,0.2391,205.94,214.09,8.15,3,3,12,False
2024-01-17,Overnight,Weekday,732.07,0.23,0.2423,168.38,177.38,9.0,2,3,12,False
2024-01-18,Opening,Weekday,220.02,0.23,0.2157,50.6,47.46,-3.14,1,1,4,False
2024-01-18,Early Breakfast,Weekday,1082.69,0.23,0.222,249.02,240.36,-8.66,4,3,12,False
2024-01-18,Late Breakfast,Weekday,1203.66,0.23,0.2282,276.84,274.68,-2.16,4,4,16,False
2024-01-18,Lunch,Weekday,1202.58,0.23,0.2206,276.59,265.29,-11.3,4,4,16,False
2024-01-18,Afternoon,Weekday,1026.73,0.23,0.2386,236.15,244.98,8.83,3,4,16,False
2024-01-18,Dinner,Weekday,1130.1,0.23,0.2396,259.92,270.77,10.85,4,4,16,False
2024-01-18,Late Night,Weekday,789.32,0.23,0.2445,181.54,192.99,11.45,3,3,12,False
2024-01-18,Overnight,Weekday,634.19,0.23,0.2334,145.86,148.02,2.16,2,2,8,False
2024-01-19,Opening,Friday,295.89,0.23,0.2223,68.05,65.78,-2.27,1,1,4,False
2024-01-19,Early Breakfast,Friday,1271.02,0.23,0.2064,292.33,262.34,-29.99,4,4,16,False
2024-01-19,Late Breakfast,Friday,1349.26,0.23,0.2058,310.33,277.68,-32.65,4,4,16,False
2024-01-19,Lunch,Friday,1615.12,0.23,0.2146,371.48,346.6,-24.88,5,5,20,False
2024-01-19,Afternoon,Friday,1393.28,0.23,0.2251,320.45,313.63,-6.82,5,4,16,False
2024-01-19,Dinner,Friday,2005.33,0.23,0.2158,461.23,432.75,-28.48,7,6,24,False
2024-01-19,Late Night,Friday,1046.44,0.23,0.2027,240.68,212.11,-28.57,3,3,12,False
2024-01-19,Overnight,Friday,787.82,0.23,0.2293,181.2,180.65,-0.55,3,3,12,False
2024-01-20,Opening,Weekend,177.49,0.23,0.2143,40.82,38.04,-2.78,1,1,4,False
2024-01-20,Early Breakfast,Weekend,625.53,0.23,0.1854,143.87,115.97,-27.9,2,2,8,False
2024-01-20,Late Breakfast,Weekend,838.81,0.23,0.1747,192.93,146.54,-46.39,3,2,8,False
2024-01-20,Lunch,Weekend,1157.35,0.23,0.1732,266.19,200.45,-65.74,4,3,12,False
2024-01-20,Afternoon,Weekend,1141.64,0.23,0.2065,262.58,235.75,-26.83,4,3,12,False
2024-01-20,Dinner,Weekend,1008.92,0.23,0.2091,232.05,210.97,-21.08,3,3,12,False
2024-01-20,Late Night,Weekend,630.4,0.23,0.2068,144.99,130.37,-14.62,2,2,8,False
2024-01-20,Overnight,Weekend,461.16,0.23,0.1809,106.07,83.42,-22.65,2,1,4,False
2024-01-21,Opening,Weekend,343.16,0.23,0.1957,78.93,67.16,-11.77,1,1,4,False
2024-01-21,Early Breakfast,Weekend,1226.47,0.23,0.2188,282.09,268.35,-13.74,4,4,16,False
2024-01-21,Late Breakfast,Weekend,1548.49,0.23,0.229,356.15,354.6,-1.55,5,5,20,False
2024-01-21,Lunch,Weekend,2268.93,0.23,0.2172,521.85,492.81,-29.04,7,7,28,False
2024-01-21,Afternoon,Weekend,1958.56,0.23,0.2216,450.47,434.02,-16.45,6,6,24,False
2024-01-21,Dinner,Weekend,2175.02,0.23,0.2104,500.25,457.62,-42.63,7,7,28,False
2024-01-21,Late Night,Weekend,1246.87,0.23,0.2032,286.78,253.36,-33.42,4,4,16,False
2024-01-21,Overnight,Weekend,924.76,0.23,0.1827,212.69,168.95,-43.74,3,2,8,False
2024-01-22,Opening,Weekday,202.57,0.23,0.237,46.59,48.01,1.42,1,1,4,False
2024-01-22,Early Breakfast,Weekday,998.62,0.23,0.2272,229.68,226.89,-2.79,3,3,12,False
2024-01-22,Late Breakfast,Weekday,1035.25,0.23,0.2119,238.11,219.37,-18.74,3,3,12,False
2024-01-22,Lunch,Weekday,1157.58,0.23,0.2373,266.24,274.69,8.45,4,4,16,False
2024-01-22,Afternoon,Weekday,948.58,0.23,0.2366,218.17,224.43,6.26,3,3,12,False
2024-01-22,Dinner,Weekday,1042.89,0.23,0.2195,239.86,228.91,-10.95,3,3,12,False
2024-01-22,Late Night,Weekday,926.87,0.23,0.2326,213.18,215.59,2.41,3,3,12,False
2024-01-22,Overnight,Weekday,630.35,0.23,0.2379,144.98,149.96,4.98,2,2,8,False
2024-01-23,Opening,Weekday,229.06,0.23,0.2139,52.68,49.0,-3.68,1,1,4,False
2024-01-23,Early Breakfast,Weekday,1091.81,0.23,0.2314,251.12,252.64,1.52,4,4,16,False
2024-01-23,Late Breakfast,Weekday,1000.38,0.23,0.2161,230.09,216.18,-13.91,3,3,12,False
2024-01-23,Lunch,Weekday,1201.15,0.23,0.2159,276.26,259.33,-16.93,4,4,16,False
2024-01-23,Afternoon,Weekday,857.23,0.23,0.2362,197.16,202.48,5.32,3,3,12,False
2024-01-23,Dinner,Weekday,1079.56,0.23,0.2332,248.3,251.75,3.45,4,4,16,False
2024-01-23,Late Night,Weekday,779.85,0.23,0.2233,179.37,174.14,-5.23,3,2,8,False
2024-01-23,Overnight,Weekday,628.92,0.23,0.2107,144.65,132.51,-12.14,2,2,8,False
2024-01-24,Opening,Weekday,205.98,0.23,0.2262,47.38,46.59,-0.79,1,1,4,False
2024-01-24,Early Breakfast,Weekday,986.76,0.23,0.2343,226.95,231.2,4.25,3,3,12,False
2024-01-24,Late Breakfast,Weekday,1011.03,0.23,0.247,232.54,249.72,17.18,3,4,16,False
2024-01-24,Lunch,Weekday,1188.39,0.23,0.229,273.33,272.14,-1.19,4,4,16,False
2024-01-24,Afternoon,Weekday,956.49,0.23,0.2285,219.99,218.56,-1.43,3,3,12,False
2024-01-24,Dinner,Weekday,1031.92,0.23,0.2176,237.34,224.55,-12.79,3,3,12,False
2024-01-24,Late Night,Weekday,812.47,0.23,0.2368,186.87,192.39,5.52,3,3,12,False
2024-01-24,Overnight,Weekday,736.31,0.23,0.2395,169.35,176.35,7.0,2,3,12,False
2024-01-25,Opening,Weekday,115.31,0.23,0.2419,26.52,27.89,1.37,1,1,4,False
2024-01-25,Early Breakfast,Weekday,482.96,0.23,0.2271,111.08,109.68,-1.4,2,2,8,False
2024-01-25,Late Breakfast,Weekday,571.77,0.23,0.2178,131.51,124.53,-6.98,2,2,8,False
2024-01-25,Lunch,Weekday,579.72,0.23,0.2431,133.34,140.93,7.59,2,2,8,False
2024-01-25,Afternoon,Weekday,447.41,0.23,0.2133,102.9,95.43,-7.47,1,1,4,False
2024-01-25,Dinner,Weekday,522.47,0.23,0.2353,120.17,122.94,2.77,2,2,8,False
2024-01-25,Late Night,Weekday,437.31,0.23,0.2149,100.58,93.98,-6.6,1,1,4,False
2024-01-25,Overnight,Weekday,346.44,0.23,0.2321,79.68,80.41,0.73,1,1,4,False
2024-01-26,Opening,Friday,288.86,0.23,0.2153,66.44,62.19,-4.25,1,1,4,False
2024-01-26,Early Breakfast,Friday,1104.82,0.23,0.224,254.11,247.48,-6.63,4,4,16,False
2024-01-26,Late Breakfast,Friday,1544.59,0.23,0.2074,355.26,320.35,-34.91,5,5,20,False
2024-01-26,Lunch,Friday,1612.94,0.23,0.2098,370.98,338.39,-32.59,5,5,20,False
2024-01-26,Afternoon,Friday,1574.2,0.23,0.1986,362.07,312.64,-49.43,5,4,16,False
2024-01-26,Dinner,Friday,1755.34,0.23,0.2047,403.73,359.32,-44.41,6,5,20,False
2024-01-26,Late Night,Friday,1123.59,0.23,0.2027,258.43,227.75,-30.68,4,3,12,False
2024-01-26,Overnight,Friday,823.47,0.23,0.2202,189.4,181.33,-8.07,3,3,12,False
2024-01-27,Opening,Weekend,357.88,0.23,0.2062,82.31,73.79,-8.52,1,1,4,False
2024-01-27,Early Breakfast,Weekend,1179.78,0.23,0.1917,271.35,226.16,-45.19,4,3,12,False
2024-01-27,Late Breakfast,Weekend,1742.37,0.23,0.21,400.75,365.9,-34.85,6,5,20,False
2024-01-27,Lunch,Weekend,2165.72,0.23,0.2132,498.12,461.73,-36.39,7,7,28,False
2024-01-27,Afternoon,Weekend,2310.74,0.23,0.1966,531.47,454.29,-77.18,8,6,24,False
2024-01-27,Dinner,Weekend,2292.03,0.23,0.1883,527.17,431.59,-95.58,8,6,24,False
2024-01-27,Late Night,Weekend,1159.02,0.23,0.17,266.57,197.03,-69.54,4,3,12,False
2024-01-27,Overnight,Weekend,1051.67,0.23,0.1975,241.88,207.7,-34.18,3,3,12,False
2024-01-28,Opening,Weekend,331.29,0.23,0.2121,76.2,70.27,-5.93,1,1,4,False
2024-01-28,Early Breakfast,Weekend,1159.01,0.23,0.1962,266.57,227.4,-39.17,4,3,12,False
2024-01-28,Late Breakfast,Weekend,1723.36,0.23,0.2135,396.37,367.94,-28.43,6,5,20,False
2024-01-28,Lunch,Weekend,2204.74,0.23,0.1859,507.09,409.86,-97.23,7,6,24,False
2024-01-28,Afternoon,Weekend,1969.7,0.23,0.2107,453.03,415.02,-38.01,6,6,24,False
2024-01-28,Dinner,Weekend,2143.57,0.23,0.178,493.02,381.56,-111.46,7,5,20,False
2024-01-28,Late Night,Weekend,1388.41,0.23,0.1764,319.33,244.92,-74.41,5,4,16,False
2024-01-28,Overnight,Weekend,1113.29,0.23,0.2214,256.06,246.48,-9.58,4,4,16,False
2024-01-29,Opening,Weekday,218.08,0.23,0.2412,50.16,52.6,2.44,1,1,4,False
2024-01-29,Early Breakfast,Weekday,1025.98,0.23,0.22,235.98,225.72,-10.26,3,3,12,False
2024-01-29,Late Breakfast,Weekday,1065.77,0.23,0.216,245.13,230.21,-14.92,4,3,12,False
2024-01-29,Lunch,Weekday,989.76,0.23,0.239,227.64,236.55,8.91,3,3,12,False
2024-01-29,Afternoon,Weekday,852.91,0.23,0.2169,196.17,185.0,-11.17,3,3,12,False
2024-01-29,Dinner,Weekday,973.84,0.23,0.2205,223.98,214.73,-9.25,3,3,12,False
2024-01-29,Late Night,Weekday,814.94,0.23,0.2475,187.44,201.7,14.26,3,3,12,False
2024-01-29,Overnight,Weekday,665.48,0.23,0.2383,153.06,158.58,5.52,2,2,8,False
2024-01-30,Opening,Weekday,230.8,0.23,0.2148,53.08,49.58,-3.5,1,1,4,False
2024-01-30,Early Breakfast,Weekday,1031.75,0.23,0.2374,237.3,244.94,7.64,3,4,16,False
2024-01-30,Late Breakfast,Weekday,1102.53,0.23,0.227,253.58,250.27,-3.31,4,4,16,False
2024-01-30,Lunch,Weekday,1070.54,0.23,0.2397,246.22,256.61,10.39,4,4,16,False
2024-01-30,Afternoon,Weekday,910.99,0.23,0.2417,209.53,220.19,10.66,3,3,12,False
2024-01-30,Dinner,Weekday,1168.47,0.23,0.2326,268.75,271.79,3.04,4,4,16,False
2024-01-30,Late Night,Weekday,795.42,0.23,0.2149,182.95,170.94,-12.01,3,2,8,False
2024-01-30,Overnight,Weekday,687.66,0.23,0.2289,158.16,157.41,-0.75,2,2,8,False
2024-01-31,Opening,Weekday,115.33,0.23,0.217,26.53,25.03,-1.5,1,1,4,False
2024-01-31,Early Breakfast,Weekday,541.87,0.23,0.2243,124.63,121.54,-3.09,2,2,8,False
2024-01-31,Late Breakfast,Weekday,601.12,0.23,0.2178,138.26,130.92,-7.34,2,2,8,False
2024-01-31,Lunch,Weekday,591.21,0.23,0.2459,135.98,145.38,9.4,2,2,8,False
2024-01-31,Afternoon,Weekday,510.45,0.23,0.2408,117.4,122.92,5.52,2,2,8,False
2024-01-31,Dinner,Weekday,529.83,0.23,0.2432,121.86,128.85,6.99,2,2,8,False
2024-01-31,Late Night,Weekday,420.37,0.23,0.2129,96.69,89.5,-7.19,1,1,4,False
2024-01-31,Overnight,Weekday,317.29,0.23,0.2168,72.98,68.79,-4.19,1,1,4,False
2024-02-01,Opening,Weekday,203.21,0.23,0.2489,46.74,50.58,3.84,1,1,4,False
2024-02-01,Early Breakfast,Weekday,1108.74,0.23,0.23,255.01,255.01,0.0,4,4,16,False
2024-02-01,Late Breakfast,Weekday,1141.59,0.23,0.2144,262.57,244.76,-17.81,4,3,12,False
2024-02-01,Lunch,Weekday,1203.96,0.23,0.2125,276.91,255.84,-21.07,4,4,16,False
2024-02-01,Afternoon,Weekday,1002.86,0.23,0.2143,230.66,214.91,-15.75,3,3,12,False
2024-02-01,Dinner,Weekday,1016.25,0.23,0.2321,233.74,235.87,2.13,3,3,12,False
2024-02-01,Late Night,Weekday,901.0,0.23,0.2216,207.23,199.66,-7.57,3,3,12,False
2024-02-01,Overnight,Weekday,658.81,0.23,0.2485,151.53,163.71,12.18,2,2,8,False
2024-02-02,Opening,Friday,321.76,0.23,0.2083,74.0,67.02,-6.98,1,1,4,False
2024-02-02,Early Breakfast,Friday,1174.17,0.23,0.2037,270.06,239.18,-30.88,4,3,12,False
2024-02-02,Late Breakfast,Friday,1389.88,0.23,0.1952,319.67,271.3,-48.37,5,4,16,False
2024-02-02,Lunch,Friday,1724.46,0.23,0.2251,396.63,388.18,-8.45,6,6,24,False
2024-02-02,Afternoon,Friday,1405.97,0.23,0.2226,323.37,312.97,-10.4,5,4,16,False
2024-02-02,Dinner,Friday,1811.38,0.23,0.1945,416.62,352.31,-64.31,6,5,20,False
2024-02-02,Late Night,Friday,1043.39,0.23,0.1912,239.98,199.5,-40.48,3,3,12,False
2024-02-02,Overnight,Friday,824.97,0.23,0.2298,189.74,189.58,-0.16,3,3,12,False
2024-02-03,Opening,Weekend,360.02,0.23,0.1927,82.8,69.38,-13.42,1,1,4,False
2024-02-03,Early Breakfast,Weekend,1199.45,0.23,0.1857,275.87,222.74,-53.13,4,3,12,False
2024-02-03,Late Breakfast,Weekend,1828.32,0.23,0.2043,420.51,373.53,-46.98,6,5,20,False
