date,day_of_week,day_type,month,quarter,shift_type,shift_start,shift_end,weather,weather_season,is_holiday,holiday_mult,season_name,season_mult,base_sales,target_sales,actual_sales,sales_variance
2024-01-03,Wednesday,Weekday,January,Q1,Early Breakfast,05:00,07:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1200,1020.0,995.0,-25.0
2024-01-03,Wednesday,Weekday,January,Q1,Late Breakfast,07:00,11:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1107.93,2.93
2024-01-03,Wednesday,Weekday,January,Q1,Lunch,11:00,14:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1051.22,-53.78
2024-01-03,Wednesday,Weekday,January,Q1,Afternoon,14:00,17:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1100,935.0,914.75,-20.25
2024-01-03,Wednesday,Weekday,January,Q1,Dinner,17:00,20:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1048.28,-56.72
2024-01-03,Wednesday,Weekday,January,Q1,Late Night,20:00,00:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1000,850.0,876.49,26.49
2024-01-03,Wednesday,Weekday,January,Q1,Overnight,00:00,04:00,Sunny,Winter,False,1.0,Winter Slump,0.85,800,680.0,648.0,-32.0
2024-01-04,Thursday,Weekday,January,Q1,Opening,04:00,05:00,Sunny,Winter,False,1.0,Winter Slump,0.85,250,212.5,225.16,12.66
2024-01-04,Thursday,Weekday,January,Q1,Early Breakfast,05:00,07:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1200,1020.0,934.54,-85.46
2024-01-04,Thursday,Weekday,January,Q1,Late Breakfast,07:00,11:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1128.44,23.44
2024-01-04,Thursday,Weekday,January,Q1,Lunch,11:00,14:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1107.53,2.53
2024-01-04,Thursday,Weekday,January,Q1,Afternoon,14:00,17:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1100,935.0,991.83,56.83
2024-01-04,Thursday,Weekday,January,Q1,Dinner,17:00,20:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1210.8,105.8
2024-01-04,Thursday,Weekday,January,Q1,Late Night,20:00,00:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1000,850.0,817.06,-32.94
2024-01-04,Thursday,Weekday,January,Q1,Overnight,00:00,04:00,Sunny,Winter,False,1.0,Winter Slump,0.85,800,680.0,669.84,-10.16
2024-01-05,Friday,Friday,January,Q1,Opening,04:00,05:00,Sunny,Winter,False,1.0,Winter Slump,0.85,350,297.5,305.36,7.86
2024-01-05,Friday,Friday,January,Q1,Early Breakfast,05:00,07:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1400,1190.0,1245.62,55.62
2024-01-05,Friday,Friday,January,Q1,Late Breakfast,07:00,11:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1700,1445.0,1343.81,-101.19
2024-01-05,Friday,Friday,January,Q1,Lunch,11:00,14:00,Sunny,Winter,False,1.0,Winter Slump,0.85,2000,1700.0,1757.7,57.7
2024-01-05,Friday,Friday,January,Q1,Afternoon,14:00,17:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1800,1530.0,1459.9,-70.1
2024-01-05,Friday,Friday,January,Q1,Dinner,17:00,20:00,Sunny,Winter,False,1.0,Winter Slump,0.85,2200,1870.0,1794.42,-75.58
2024-01-05,Friday,Friday,January,Q1,Late Night,20:00,00:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1137.21,32.21
2024-01-05,Friday,Friday,January,Q1,Overnight,00:00,04:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1000,850.0,811.49,-38.51
2024-01-06,Saturday,Weekend,January,Q1,Opening,04:00,05:00,Sunny,Winter,False,1.0,Winter Slump,0.85,400,340.0,326.99,-13.01
2024-01-06,Saturday,Weekend,January,Q1,Early Breakfast,05:00,07:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1500,1275.0,1231.91,-43.09
2024-01-06,Saturday,Weekend,January,Q1,Late Breakfast,07:00,11:00,Sunny,Winter,False,1.0,Winter Slump,0.85,2000,1700.0,1621.49,-78.51
2024-01-06,Saturday,Weekend,January,Q1,Lunch,11:00,14:00,Sunny,Winter,False,1.0,Winter Slump,0.85,2500,2125.0,2270.15,145.15
2024-01-06,Saturday,Weekend,January,Q1,Afternoon,14:00,17:00,Sunny,Winter,False,1.0,Winter Slump,0.85,2500,2125.0,2224.77,99.77
2024-01-06,Saturday,Weekend,January,Q1,Dinner,17:00,20:00,Sunny,Winter,False,1.0,Winter Slump,0.85,2500,2125.0,2281.3,156.3
2024-01-06,Saturday,Weekend,January,Q1,Late Night,20:00,00:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1500,1275.0,1215.17,-59.83
2024-01-06,Saturday,Weekend,January,Q1,Overnight,00:00,04:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1200,1020.0,986.8,-33.2
2024-01-07,Sunday,Weekend,January,Q1,Opening,04:00,05:00,Sunny,Winter,False,1.0,Winter Slump,0.85,400,340.0,369.32,29.32
2024-01-07,Sunday,Weekend,January,Q1,Early Breakfast,05:00,07:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1500,1275.0,1307.93,32.93
2024-01-07,Sunday,Weekend,January,Q1,Late Breakfast,07:00,11:00,Sunny,Winter,False,1.0,Winter Slump,0.85,2000,1700.0,1777.87,77.87
2024-01-07,Sunday,Weekend,January,Q1,Lunch,11:00,14:00,Sunny,Winter,False,1.0,Winter Slump,0.85,2500,2125.0,2215.75,90.75
2024-01-07,Sunday,Weekend,January,Q1,Afternoon,14:00,17:00,Sunny,Winter,False,1.0,Winter Slump,0.85,2500,2125.0,2282.38,157.38
2024-01-07,Sunday,Weekend,January,Q1,Dinner,17:00,20:00,Sunny,Winter,False,1.0,Winter Slump,0.85,2500,2125.0,2155.11,30.11
2024-01-07,Sunday,Weekend,January,Q1,Late Night,20:00,00:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1500,1275.0,1270.61,-4.39
2024-01-07,Sunday,Weekend,January,Q1,Overnight,00:00,04:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1200,1020.0,1092.5,72.5
2024-01-08,Monday,Weekday,January,Q1,Opening,04:00,05:00,Snowstorm,Winter,False,1.0,Winter Slump,0.85,250,106.25,104.6,-1.65
2024-01-08,Monday,Weekday,January,Q1,Early Breakfast,05:00,07:00,Snowstorm,Winter,False,1.0,Winter Slump,0.85,1200,510.0,490.04,-19.96
2024-01-08,Monday,Weekday,January,Q1,Late Breakfast,07:00,11:00,Snowstorm,Winter,False,1.0,Winter Slump,0.85,1300,552.5,595.76,43.26
2024-01-08,Monday,Weekday,January,Q1,Lunch,11:00,14:00,Snowstorm,Winter,False,1.0,Winter Slump,0.85,1300,552.5,601.57,49.07
2024-01-08,Monday,Weekday,January,Q1,Afternoon,14:00,17:00,Snowstorm,Winter,False,1.0,Winter Slump,0.85,1100,467.5,513.47,45.97
2024-01-08,Monday,Weekday,January,Q1,Dinner,17:00,20:00,Snowstorm,Winter,False,1.0,Winter Slump,0.85,1300,552.5,573.92,21.42
2024-01-08,Monday,Weekday,January,Q1,Late Night,20:00,00:00,Snowstorm,Winter,False,1.0,Winter Slump,0.85,1000,425.0,437.53,12.53
2024-01-08,Monday,Weekday,January,Q1,Overnight,00:00,04:00,Snowstorm,Winter,False,1.0,Winter Slump,0.85,800,340.0,317.31,-22.69
2024-01-09,Tuesday,Weekday,January,Q1,Opening,04:00,05:00,Sunny,Winter,False,1.0,Winter Slump,0.85,250,212.5,212.65,0.15
2024-01-09,Tuesday,Weekday,January,Q1,Early Breakfast,05:00,07:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1200,1020.0,1002.88,-17.12
2024-01-09,Tuesday,Weekday,January,Q1,Late Breakfast,07:00,11:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1024.53,-80.47
2024-01-09,Tuesday,Weekday,January,Q1,Lunch,11:00,14:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1099.18,-5.82
2024-01-09,Tuesday,Weekday,January,Q1,Afternoon,14:00,17:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1100,935.0,923.63,-11.37
2024-01-09,Tuesday,Weekday,January,Q1,Dinner,17:00,20:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1102.24,-2.76
2024-01-09,Tuesday,Weekday,January,Q1,Late Night,20:00,00:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1000,850.0,923.96,73.96
2024-01-09,Tuesday,Weekday,January,Q1,Overnight,00:00,04:00,Sunny,Winter,False,1.0,Winter Slump,0.85,800,680.0,652.76,-27.24
2024-01-10,Wednesday,Weekday,January,Q1,Opening,04:00,05:00,Sunny,Winter,False,1.0,Winter Slump,0.85,250,212.5,225.52,13.02
2024-01-10,Wednesday,Weekday,January,Q1,Early Breakfast,05:00,07:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1200,1020.0,929.92,-90.08
2024-01-10,Wednesday,Weekday,January,Q1,Late Breakfast,07:00,11:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1031.54,-73.46
2024-01-10,Wednesday,Weekday,January,Q1,Lunch,11:00,14:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1015.92,-89.08
2024-01-10,Wednesday,Weekday,January,Q1,Afternoon,14:00,17:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1100,935.0,892.7,-42.3
2024-01-10,Wednesday,Weekday,January,Q1,Dinner,17:00,20:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1194.9,89.9
2024-01-10,Wednesday,Weekday,January,Q1,Late Night,20:00,00:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1000,850.0,811.78,-38.22
2024-01-10,Wednesday,Weekday,January,Q1,Overnight,00:00,04:00,Sunny,Winter,False,1.0,Winter Slump,0.85,800,680.0,639.22,-40.78
2024-01-11,Thursday,Weekday,January,Q1,Opening,04:00,05:00,Sunny,Winter,False,1.0,Winter Slump,0.85,250,212.5,217.82,5.32
2024-01-11,Thursday,Weekday,January,Q1,Early Breakfast,05:00,07:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1200,1020.0,1102.8,82.8
2024-01-11,Thursday,Weekday,January,Q1,Late Breakfast,07:00,11:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1191.4,86.4
2024-01-11,Thursday,Weekday,January,Q1,Lunch,11:00,14:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1176.65,71.65
2024-01-11,Thursday,Weekday,January,Q1,Afternoon,14:00,17:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1100,935.0,947.46,12.46
2024-01-11,Thursday,Weekday,January,Q1,Dinner,17:00,20:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1196.45,91.45
2024-01-11,Thursday,Weekday,January,Q1,Late Night,20:00,00:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1000,850.0,830.81,-19.19
2024-01-11,Thursday,Weekday,January,Q1,Overnight,00:00,04:00,Sunny,Winter,False,1.0,Winter Slump,0.85,800,680.0,656.43,-23.57
2024-01-12,Friday,Friday,January,Q1,Opening,04:00,05:00,Sunny,Winter,False,1.0,Winter Slump,0.85,350,297.5,274.79,-22.71
2024-01-12,Friday,Friday,January,Q1,Early Breakfast,05:00,07:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1400,1190.0,1244.96,54.96
2024-01-12,Friday,Friday,January,Q1,Late Breakfast,07:00,11:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1700,1445.0,1488.55,43.55
2024-01-12,Friday,Friday,January,Q1,Lunch,11:00,14:00,Sunny,Winter,False,1.0,Winter Slump,0.85,2000,1700.0,1620.04,-79.96
2024-01-12,Friday,Friday,January,Q1,Afternoon,14:00,17:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1800,1530.0,1442.3,-87.7
2024-01-12,Friday,Friday,January,Q1,Dinner,17:00,20:00,Sunny,Winter,False,1.0,Winter Slump,0.85,2200,1870.0,1824.4,-45.6
2024-01-12,Friday,Friday,January,Q1,Late Night,20:00,00:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1104.19,-0.81
2024-01-12,Friday,Friday,January,Q1,Overnight,00:00,04:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1000,850.0,840.66,-9.34
2024-01-13,Saturday,Weekend,January,Q1,Opening,04:00,05:00,Sunny,Winter,False,1.0,Winter Slump,0.85,400,340.0,317.97,-22.03
2024-01-13,Saturday,Weekend,January,Q1,Early Breakfast,05:00,07:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1500,1275.0,1267.72,-7.28
2024-01-13,Saturday,Weekend,January,Q1,Late Breakfast,07:00,11:00,Sunny,Winter,False,1.0,Winter Slump,0.85,2000,1700.0,1591.1,-108.9
2024-01-13,Saturday,Weekend,January,Q1,Lunch,11:00,14:00,Sunny,Winter,False,1.0,Winter Slump,0.85,2500,2125.0,2203.03,78.03
2024-01-13,Saturday,Weekend,January,Q1,Afternoon,14:00,17:00,Sunny,Winter,False,1.0,Winter Slump,0.85,2500,2125.0,2070.83,-54.17
2024-01-13,Saturday,Weekend,January,Q1,Dinner,17:00,20:00,Sunny,Winter,False,1.0,Winter Slump,0.85,2500,2125.0,2023.28,-101.72
2024-01-13,Saturday,Weekend,January,Q1,Late Night,20:00,00:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1500,1275.0,1267.94,-7.06
2024-01-13,Saturday,Weekend,January,Q1,Overnight,00:00,04:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1200,1020.0,1097.58,77.58
2024-01-14,Sunday,Weekend,January,Q1,Opening,04:00,05:00,Sunny,Winter,False,1.0,Winter Slump,0.85,400,340.0,320.23,-19.77
2024-01-14,Sunday,Weekend,January,Q1,Early Breakfast,05:00,07:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1500,1275.0,1360.38,85.38
2024-01-14,Sunday,Weekend,January,Q1,Late Breakfast,07:00,11:00,Sunny,Winter,False,1.0,Winter Slump,0.85,2000,1700.0,1802.88,102.88
2024-01-14,Sunday,Weekend,January,Q1,Lunch,11:00,14:00,Sunny,Winter,False,1.0,Winter Slump,0.85,2500,2125.0,2040.95,-84.05
2024-01-14,Sunday,Weekend,January,Q1,Afternoon,14:00,17:00,Sunny,Winter,False,1.0,Winter Slump,0.85,2500,2125.0,2295.0,170.0
2024-01-14,Sunday,Weekend,January,Q1,Dinner,17:00,20:00,Sunny,Winter,False,1.0,Winter Slump,0.85,2500,2125.0,2148.56,23.56
2024-01-14,Sunday,Weekend,January,Q1,Late Night,20:00,00:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1500,1275.0,1222.4,-52.6
2024-01-14,Sunday,Weekend,January,Q1,Overnight,00:00,04:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1200,1020.0,923.13,-96.87
2024-01-15,Monday,Weekday,January,Q1,Opening,04:00,05:00,Sunny,Winter,False,1.0,Winter Slump,0.85,250,212.5,197.04,-15.46
2024-01-15,Monday,Weekday,January,Q1,Early Breakfast,05:00,07:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1200,1020.0,1110.17,90.17
2024-01-15,Monday,Weekday,January,Q1,Late Breakfast,07:00,11:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1171.65,66.65
2024-01-15,Monday,Weekday,January,Q1,Lunch,11:00,14:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1169.93,64.93
2024-01-15,Monday,Weekday,January,Q1,Afternoon,14:00,17:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1100,935.0,907.85,-27.15
2024-01-15,Monday,Weekday,January,Q1,Dinner,17:00,20:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1164.6,59.6
2024-01-15,Monday,Weekday,January,Q1,Late Night,20:00,00:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1000,850.0,820.83,-29.17
2024-01-15,Monday,Weekday,January,Q1,Overnight,00:00,04:00,Sunny,Winter,False,1.0,Winter Slump,0.85,800,680.0,716.98,36.98
2024-01-16,Tuesday,Weekday,January,Q1,Opening,04:00,05:00,Rainy,Winter,False,1.0,Winter Slump,0.85,250,201.88,194.67,-7.21
2024-01-16,Tuesday,Weekday,January,Q1,Early Breakfast,05:00,07:00,Rainy,Winter,False,1.0,Winter Slump,0.85,1200,969.0,982.0,13.0
2024-01-16,Tuesday,Weekday,January,Q1,Late Breakfast,07:00,11:00,Rainy,Winter,False,1.0,Winter Slump,0.85,1300,1049.75,1094.06,44.31
2024-01-16,Tuesday,Weekday,January,Q1,Lunch,11:00,14:00,Rainy,Winter,False,1.0,Winter Slump,0.85,1300,1049.75,1108.3,58.55
2024-01-16,Tuesday,Weekday,January,Q1,Afternoon,14:00,17:00,Rainy,Winter,False,1.0,Winter Slump,0.85,1100,888.25,966.52,78.27
2024-01-16,Tuesday,Weekday,January,Q1,Dinner,17:00,20:00,Rainy,Winter,False,1.0,Winter Slump,0.85,1300,1049.75,1066.08,16.33
2024-01-16,Tuesday,Weekday,January,Q1,Late Night,20:00,00:00,Rainy,Winter,False,1.0,Winter Slump,0.85,1000,807.5,781.27,-26.23
2024-01-16,Tuesday,Weekday,January,Q1,Overnight,00:00,04:00,Rainy,Winter,False,1.0,Winter Slump,0.85,800,646.0,669.93,23.93
2024-01-17,Wednesday,Weekday,January,Q1,Opening,04:00,05:00,Sunny,Winter,False,1.0,Winter Slump,0.85,250,212.5,207.75,-4.75
2024-01-17,Wednesday,Weekday,January,Q1,Early Breakfast,05:00,07:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1200,1020.0,926.36,-93.64
2024-01-17,Wednesday,Weekday,January,Q1,Late Breakfast,07:00,11:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1138.26,33.26
2024-01-17,Wednesday,Weekday,January,Q1,Lunch,11:00,14:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1207.15,102.15
2024-01-17,Wednesday,Weekday,January,Q1,Afternoon,14:00,17:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1100,935.0,979.81,44.81
2024-01-17,Wednesday,Weekday,January,Q1,Dinner,17:00,20:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1071.54,-33.46
2024-01-17,Wednesday,Weekday,January,Q1,Late Night,20:00,00:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1000,850.0,895.38,45.38
2024-01-17,Wednesday,Weekday,January,Q1,Overnight,00:00,04:00,Sunny,Winter,False,1.0,Winter Slump,0.85,800,680.0,732.07,52.07
2024-01-18,Thursday,Weekday,January,Q1,Opening,04:00,05:00,Sunny,Winter,False,1.0,Winter Slump,0.85,250,212.5,220.02,7.52
2024-01-18,Thursday,Weekday,January,Q1,Early Breakfast,05:00,07:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1200,1020.0,1082.69,62.69
2024-01-18,Thursday,Weekday,January,Q1,Late Breakfast,07:00,11:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1203.66,98.66
2024-01-18,Thursday,Weekday,January,Q1,Lunch,11:00,14:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1202.58,97.58
2024-01-18,Thursday,Weekday,January,Q1,Afternoon,14:00,17:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1100,935.0,1026.73,91.73
2024-01-18,Thursday,Weekday,January,Q1,Dinner,17:00,20:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1130.1,25.1
2024-01-18,Thursday,Weekday,January,Q1,Late Night,20:00,00:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1000,850.0,789.32,-60.68
2024-01-18,Thursday,Weekday,January,Q1,Overnight,00:00,04:00,Sunny,Winter,False,1.0,Winter Slump,0.85,800,680.0,634.19,-45.81
2024-01-19,Friday,Friday,January,Q1,Opening,04:00,05:00,Sunny,Winter,False,1.0,Winter Slump,0.85,350,297.5,295.89,-1.61
2024-01-19,Friday,Friday,January,Q1,Early Breakfast,05:00,07:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1400,1190.0,1271.02,81.02
2024-01-19,Friday,Friday,January,Q1,Late Breakfast,07:00,11:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1700,1445.0,1349.26,-95.74
2024-01-19,Friday,Friday,January,Q1,Lunch,11:00,14:00,Sunny,Winter,False,1.0,Winter Slump,0.85,2000,1700.0,1615.12,-84.88
2024-01-19,Friday,Friday,January,Q1,Afternoon,14:00,17:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1800,1530.0,1393.28,-136.72
2024-01-19,Friday,Friday,January,Q1,Dinner,17:00,20:00,Sunny,Winter,False,1.0,Winter Slump,0.85,2200,1870.0,2005.33,135.33
2024-01-19,Friday,Friday,January,Q1,Late Night,20:00,00:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1046.44,-58.56
2024-01-19,Friday,Friday,January,Q1,Overnight,00:00,04:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1000,850.0,787.82,-62.18
2024-01-20,Saturday,Weekend,January,Q1,Opening,04:00,05:00,Snowstorm,Winter,False,1.0,Winter Slump,0.85,400,170.0,177.49,7.49
2024-01-20,Saturday,Weekend,January,Q1,Early Breakfast,05:00,07:00,Snowstorm,Winter,False,1.0,Winter Slump,0.85,1500,637.5,625.53,-11.97
2024-01-20,Saturday,Weekend,January,Q1,Late Breakfast,07:00,11:00,Snowstorm,Winter,False,1.0,Winter Slump,0.85,2000,850.0,838.81,-11.19
2024-01-20,Saturday,Weekend,January,Q1,Lunch,11:00,14:00,Snowstorm,Winter,False,1.0,Winter Slump,0.85,2500,1062.5,1157.35,94.85
2024-01-20,Saturday,Weekend,January,Q1,Afternoon,14:00,17:00,Snowstorm,Winter,False,1.0,Winter Slump,0.85,2500,1062.5,1141.64,79.14
2024-01-20,Saturday,Weekend,January,Q1,Dinner,17:00,20:00,Snowstorm,Winter,False,1.0,Winter Slump,0.85,2500,1062.5,1008.92,-53.58
2024-01-20,Saturday,Weekend,January,Q1,Late Night,20:00,00:00,Snowstorm,Winter,False,1.0,Winter Slump,0.85,1500,637.5,630.4,-7.1
2024-01-20,Saturday,Weekend,January,Q1,Overnight,00:00,04:00,Snowstorm,Winter,False,1.0,Winter Slump,0.85,1200,510.0,461.16,-48.84
2024-01-21,Sunday,Weekend,January,Q1,Opening,04:00,05:00,Sunny,Winter,False,1.0,Winter Slump,0.85,400,340.0,343.16,3.16
2024-01-21,Sunday,Weekend,January,Q1,Early Breakfast,05:00,07:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1500,1275.0,1226.47,-48.53
2024-01-21,Sunday,Weekend,January,Q1,Late Breakfast,07:00,11:00,Sunny,Winter,False,1.0,Winter Slump,0.85,2000,1700.0,1548.49,-151.51
2024-01-21,Sunday,Weekend,January,Q1,Lunch,11:00,14:00,Sunny,Winter,False,1.0,Winter Slump,0.85,2500,2125.0,2268.93,143.93
2024-01-21,Sunday,Weekend,January,Q1,Afternoon,14:00,17:00,Sunny,Winter,False,1.0,Winter Slump,0.85,2500,2125.0,1958.56,-166.44
2024-01-21,Sunday,Weekend,January,Q1,Dinner,17:00,20:00,Sunny,Winter,False,1.0,Winter Slump,0.85,2500,2125.0,2175.02,50.02
2024-01-21,Sunday,Weekend,January,Q1,Late Night,20:00,00:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1500,1275.0,1246.87,-28.13
2024-01-21,Sunday,Weekend,January,Q1,Overnight,00:00,04:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1200,1020.0,924.76,-95.24
2024-01-22,Monday,Weekday,January,Q1,Opening,04:00,05:00,Sunny,Winter,False,1.0,Winter Slump,0.85,250,212.5,202.57,-9.93
2024-01-22,Monday,Weekday,January,Q1,Early Breakfast,05:00,07:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1200,1020.0,998.62,-21.38
2024-01-22,Monday,Weekday,January,Q1,Late Breakfast,07:00,11:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1035.25,-69.75
2024-01-22,Monday,Weekday,January,Q1,Lunch,11:00,14:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1157.58,52.58
2024-01-22,Monday,Weekday,January,Q1,Afternoon,14:00,17:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1100,935.0,948.58,13.58
2024-01-22,Monday,Weekday,January,Q1,Dinner,17:00,20:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1042.89,-62.11
