date,shift_type,day_type,actual_sales,target_waste_pct,actual_waste_pct,target_waste_cost,actual_waste_cost,waste_variance,waste_reason,is_over_target
2024-01-07,Lunch,Weekend,2215.75,0.03,0.0423,66.47,93.73,27.26,UHC Expiration,False
2024-01-07,Afternoon,Weekend,2282.38,0.03,0.0145,68.47,33.09,-35.38,Expired Vegetables,False
2024-01-07,Dinner,Weekend,2155.11,0.03,0.0669,64.65,144.18,79.53,UHC Expiration,True
2024-01-07,Late Night,Weekend,1270.61,0.03,0.0379,38.12,48.16,10.04,UHC Expiration,False
2024-01-07,Overnight,Weekend,1092.5,0.03,0.0145,32.77,15.84,-16.93,Dropped Food,False
2024-01-08,Opening,Weekday,104.6,0.03,0.0168,3.14,1.76,-1.38,UHC Expiration,False
2024-01-08,Early Breakfast,Weekday,490.04,0.03,0.0321,14.7,15.73,1.03,Overproduction,False
2024-01-08,Late Breakfast,Weekday,595.76,0.03,0.0377,17.87,22.46,4.59,Overproduction,False
2024-01-08,Lunch,Weekday,601.57,0.03,0.045,18.05,27.07,9.02,UHC Expiration,False
2024-01-08,Afternoon,Weekday,513.47,0.03,0.0248,15.4,12.73,-2.67,Overproduction,False
2024-01-08,Dinner,Weekday,573.92,0.03,0.0685,17.22,39.31,22.09,Dropped Food,True
2024-01-08,Late Night,Weekday,437.53,0.03,0.0224,13.13,9.8,-3.33,Wrong Order,False
2024-01-08,Overnight,Weekday,317.31,0.03,0.0176,9.52,5.58,-3.94,UHC Expiration,False
2024-01-09,Opening,Weekday,212.65,0.03,0.0139,6.38,2.96,-3.42,Dropped Food,False
2024-01-09,Early Breakfast,Weekday,1002.88,0.03,0.0329,30.09,32.99,2.9,Overproduction,False
2024-01-09,Late Breakfast,Weekday,1024.53,0.03,0.04,30.74,40.98,10.24,Expired Vegetables,False
2024-01-09,Lunch,Weekday,1099.18,0.03,0.0508,32.98,55.84,22.86,Delivery Driver No Show:,True
2024-01-09,Afternoon,Weekday,923.63,0.03,0.0247,27.71,22.81,-4.9,UHC Expiration,False
2024-01-09,Dinner,Weekday,1102.24,0.03,0.0648,33.07,71.43,38.36,UHC Expiration,True
2024-01-09,Late Night,Weekday,923.96,0.03,0.027,27.72,24.95,-2.77,Expired Vegetables,False
2024-01-09,Overnight,Weekday,652.76,0.03,0.0136,19.58,8.88,-10.7,Expired Vegetables,False
2024-01-10,Opening,Weekday,225.52,0.03,0.0123,6.77,2.77,-4.0,Expired Vegetables,False
2024-01-10,Early Breakfast,Weekday,929.92,0.03,0.0389,27.9,36.17,8.27,Expired Vegetables,False
2024-01-10,Late Breakfast,Weekday,1031.54,0.03,0.048,30.95,49.51,18.56,Overproduction,False
2024-01-10,Lunch,Weekday,1015.92,0.03,0.0472,30.48,47.95,17.47,UHC Expiration,False
2024-01-10,Afternoon,Weekday,892.7,0.03,0.0234,26.78,20.89,-5.89,UHC Expiration,False
2024-01-10,Dinner,Weekday,1194.9,0.03,0.0442,35.85,52.81,16.96,Overproduction,False
2024-01-10,Late Night,Weekday,811.78,0.03,0.0282,24.35,22.89,-1.46,Expired Vegetables,False
2024-01-10,Overnight,Weekday,639.22,0.03,0.0168,19.18,10.74,-8.44,Overproduction,False
2024-01-11,Opening,Weekday,217.82,0.03,0.0119,6.53,2.59,-3.94,UHC Expiration,False
2024-01-11,Early Breakfast,Weekday,1102.8,0.03,0.0229,33.08,25.25,-7.83,Expired Vegetables,False
2024-01-11,Late Breakfast,Weekday,1191.4,0.03,0.0438,35.74,52.18,16.44,UHC Expiration,False
2024-01-11,Lunch,Weekday,1176.65,0.03,0.0509,35.3,59.89,24.59,Overproduction,True
2024-01-11,Afternoon,Weekday,947.46,0.03,0.0291,28.42,27.57,-0.85,UHC Expiration,False
2024-01-11,Dinner,Weekday,1196.45,0.03,0.0693,35.89,82.91,47.02,UHC Expiration,True
2024-01-11,Late Night,Weekday,830.81,0.03,0.0368,24.92,30.57,5.65,Overproduction,False
2024-01-11,Overnight,Weekday,656.43,0.03,0.0185,19.69,12.14,-7.55,UHC Expiration,False
2024-01-12,Opening,Friday,274.79,0.03,0.0139,8.24,3.82,-4.42,Wrong Order,False
2024-01-12,Early Breakfast,Friday,1244.96,0.03,0.0398,37.35,49.55,12.2,UHC Expiration,False
2024-01-12,Late Breakfast,Friday,1488.55,0.03,0.0375,44.66,55.82,11.16,UHC Expiration,False
2024-01-12,Lunch,Friday,1620.04,0.03,0.0592,48.6,95.91,47.31,Overproduction,True
2024-01-12,Afternoon,Friday,1442.3,0.03,0.0144,43.27,20.77,-22.5,Expired Vegetables,False
2024-01-12,Dinner,Friday,1824.4,0.03,0.0469,54.73,85.56,30.83,Overproduction,False
2024-01-12,Late Night,Friday,1104.19,0.03,0.0202,33.13,22.3,-10.83,UHC Expiration,False
2024-01-12,Overnight,Friday,840.66,0.03,0.0182,25.22,15.3,-9.92,Overproduction,False
2024-01-13,Opening,Weekend,317.97,0.03,0.0152,9.54,4.83,-4.71,Overproduction,False
2024-01-13,Early Breakfast,Weekend,1267.72,0.03,0.025,38.03,31.69,-6.34,Overproduction,False
2024-01-13,Late Breakfast,Weekend,1591.1,0.03,0.0482,47.73,76.69,28.96,Overproduction,False
2024-01-13,Lunch,Weekend,2203.03,0.03,0.0538,66.09,118.52,52.43,UHC Expiration,True
2024-01-13,Afternoon,Weekend,2070.83,0.03,0.0122,62.12,25.26,-36.86,UHC Expiration,False
2024-01-13,Dinner,Weekend,2023.28,0.03,0.0549,60.7,111.08,50.38,UHC Expiration,True
2024-01-13,Late Night,Weekend,1267.94,0.03,0.0289,38.04,36.64,-1.4,UHC Expiration,False
2024-01-13,Overnight,Weekend,1097.58,0.03,0.0183,32.93,20.09,-12.84,UHC Expiration,False
2024-01-14,Opening,Weekend,320.23,0.03,0.0127,9.61,4.07,-5.54,UHC Expiration,False
2024-01-14,Early Breakfast,Weekend,1360.38,0.03,0.0279,40.81,37.95,-2.86,UHC Expiration,False
2024-01-14,Late Breakfast,Weekend,1802.88,0.03,0.0481,54.09,86.72,32.63,Overproduction,False
2024-01-14,Lunch,Weekend,2040.95,0.03,0.0471,61.23,96.13,34.9,UHC Expiration,False
2024-01-14,Afternoon,Weekend,2295.0,0.03,0.024,68.85,55.08,-13.77,Dropped Food,False
2024-01-14,Dinner,Weekend,2148.56,0.03,0.0646,64.46,138.8,74.34,UHC Expiration,True
2024-01-14,Late Night,Weekend,1222.4,0.03,0.0389,36.67,47.55,10.88,Expired Vegetables,False
2024-01-14,Overnight,Weekend,923.13,0.03,0.0182,27.69,16.8,-10.89,Expired Vegetables,False
2024-01-15,Opening,Weekday,197.04,0.03,0.0163,5.91,3.21,-2.7,Dropped Food,False
2024-01-15,Early Breakfast,Weekday,1110.17,0.03,0.0344,33.31,38.19,4.88,UHC Expiration,False
2024-01-15,Late Breakfast,Weekday,1171.65,0.03,0.0315,35.15,36.91,1.76,Overproduction,False
2024-01-15,Lunch,Weekday,1169.93,0.03,0.0542,35.1,63.41,28.31,Overproduction,True
2024-01-15,Afternoon,Weekday,907.85,0.03,0.0266,27.24,24.15,-3.09,Expired Vegetables,False
2024-01-15,Dinner,Weekday,1164.6,0.03,0.0693,34.94,80.71,45.77,UHC Expiration,True
2024-01-15,Late Night,Weekday,820.83,0.03,0.0286,24.62,23.48,-1.14,Wrong Order,False
2024-01-15,Overnight,Weekday,716.98,0.03,0.0148,21.51,10.61,-10.9,UHC Expiration,False
2024-01-16,Opening,Weekday,194.67,0.03,0.0104,5.84,2.02,-3.82,UHC Expiration,False
2024-01-16,Early Breakfast,Weekday,982.0,0.03,0.0214,29.46,21.01,-8.45,UHC Expiration,False
2024-01-16,Late Breakfast,Weekday,1094.06,0.03,0.0385,32.82,42.12,9.3,Expired Vegetables,False
2024-01-16,Lunch,Weekday,1108.3,0.03,0.0445,33.25,49.32,16.07,UHC Expiration,False
2024-01-16,Afternoon,Weekday,966.52,0.03,0.0264,29.0,25.52,-3.48,UHC Expiration,False
2024-01-16,Dinner,Weekday,1066.08,0.03,0.0576,31.98,61.41,29.43,Expired Vegetables,True
2024-01-16,Late Night,Weekday,781.27,0.03,0.0383,23.44,29.92,6.48,UHC Expiration,False
2024-01-16,Overnight,Weekday,669.93,0.03,0.0193,20.1,12.93,-7.17,UHC Expiration,False
2024-01-17,Opening,Weekday,207.75,0.03,0.0136,6.23,2.83,-3.4,Expired Vegetables,False
2024-01-17,Early Breakfast,Weekday,926.36,0.03,0.0362,27.79,33.53,5.74,Overproduction,False
2024-01-17,Late Breakfast,Weekday,1138.26,0.03,0.0403,34.15,45.87,11.72,Overproduction,False
2024-01-17,Lunch,Weekday,1207.15,0.03,0.0423,36.21,51.06,14.85,UHC Expiration,False
2024-01-17,Afternoon,Weekday,979.81,0.03,0.0253,29.39,24.79,-4.6,Overproduction,False
2024-01-17,Dinner,Weekday,1071.54,0.03,0.0462,32.15,49.51,17.36,UHC Expiration,False
2024-01-17,Late Night,Weekday,895.38,0.03,0.0232,26.86,20.77,-6.09,Expired Vegetables,False
2024-01-17,Overnight,Weekday,732.07,0.03,0.0146,21.96,10.69,-11.27,Expired Vegetables,False
2024-01-18,Opening,Weekday,220.02,0.03,0.0148,6.6,3.26,-3.34,UHC Expiration,False
2024-01-18,Early Breakfast,Weekday,1082.69,0.03,0.0302,32.48,32.7,0.22,Expired Vegetables,False
2024-01-18,Late Breakfast,Weekday,1203.66,0.03,0.0414,36.11,49.83,13.72,Wrong Order,False
2024-01-18,Lunch,Weekday,1202.58,0.03,0.0588,36.08,70.71,34.63,Expired Vegetables,True
2024-01-18,Afternoon,Weekday,1026.73,0.03,0.0231,30.8,23.72,-7.08,UHC Expiration,False
2024-01-18,Dinner,Weekday,1130.1,0.03,0.0439,33.9,49.61,15.71,Dropped Food,False
2024-01-18,Late Night,Weekday,789.32,0.03,0.0289,23.68,22.81,-0.87,Overproduction,False
2024-01-18,Overnight,Weekday,634.19,0.03,0.0148,19.03,9.39,-9.64,Expired Vegetables,False
2024-01-19,Opening,Friday,295.89,0.03,0.0181,8.88,5.36,-3.52,Overproduction,False
2024-01-19,Early Breakfast,Friday,1271.02,0.03,0.0224,38.13,28.47,-9.66,UHC Expiration,False
2024-01-19,Late Breakfast,Friday,1349.26,0.03,0.0468,40.48,63.15,22.67,UHC Expiration,False
2024-01-19,Lunch,Friday,1615.12,0.03,0.0417,48.45,67.35,18.9,UHC Expiration,False
2024-01-19,Afternoon,Friday,1393.28,0.03,0.0137,41.8,19.09,-22.71,UHC Expiration,False
2024-01-19,Dinner,Friday,2005.33,0.03,0.0503,60.16,100.87,40.71,Overproduction,True
2024-01-19,Late Night,Friday,1046.44,0.03,0.0212,31.39,22.18,-9.21,Overproduction,False
2024-01-19,Overnight,Friday,787.82,0.03,0.0146,23.63,11.5,-12.13,Overproduction,False
2024-01-20,Opening,Weekend,177.49,0.03,0.0126,5.32,2.24,-3.08,Overproduction,False
2024-01-20,Early Breakfast,Weekend,625.53,0.03,0.0305,18.77,19.08,0.31,Overproduction,False
2024-01-20,Late Breakfast,Weekend,838.81,0.03,0.0385,25.16,32.29,7.13,Expired Vegetables,False
2024-01-20,Lunch,Weekend,1157.35,0.03,0.0461,34.72,53.35,18.63,Overproduction,False
2024-01-20,Afternoon,Weekend,1141.64,0.03,0.0247,34.25,28.2,-6.05,UHC Expiration,False
2024-01-20,Dinner,Weekend,1008.92,0.03,0.054,30.27,54.48,24.21,Delivery Driver No Show:,True
2024-01-20,Late Night,Weekend,630.4,0.03,0.0218,18.91,13.74,-5.17,Overproduction,False
2024-01-20,Overnight,Weekend,461.16,0.03,0.0176,13.83,8.12,-5.71,UHC Expiration,False
2024-01-21,Opening,Weekend,343.16,0.03,0.0145,10.29,4.98,-5.31,UHC Expiration,False
2024-01-21,Early Breakfast,Weekend,1226.47,0.03,0.0294,36.79,36.06,-0.73,UHC Expiration,False
2024-01-21,Late Breakfast,Weekend,1548.49,0.03,0.0328,46.45,50.79,4.34,Wrong Order,False
2024-01-21,Lunch,Weekend,2268.93,0.03,0.0586,68.07,132.96,64.89,Expired Vegetables,True
2024-01-21,Afternoon,Weekend,1958.56,0.03,0.0295,58.76,57.78,-0.98,Expired Vegetables,False
2024-01-21,Dinner,Weekend,2175.02,0.03,0.0598,65.25,130.07,64.82,UHC Expiration,True
2024-01-21,Late Night,Weekend,1246.87,0.03,0.0299,37.41,37.28,-0.13,UHC Expiration,False
2024-01-21,Overnight,Weekend,924.76,0.03,0.0153,27.74,14.15,-13.59,Overproduction,False
2024-01-22,Opening,Weekday,202.57,0.03,0.0197,6.08,3.99,-2.09,Expired Vegetables,False
2024-01-22,Early Breakfast,Weekday,998.62,0.03,0.0364,29.96,36.35,6.39,Overproduction,False
2024-01-22,Late Breakfast,Weekday,1035.25,0.03,0.0338,31.06,34.99,3.93,Overproduction,False
2024-01-22,Lunch,Weekday,1157.58,0.03,0.0474,34.73,54.87,20.14,UHC Expiration,False
2024-01-22,Afternoon,Weekday,948.58,0.03,0.0296,28.46,28.08,-0.38,Expired Vegetables,False
2024-01-22,Dinner,Weekday,1042.89,0.03,0.064,31.29,66.74,35.45,Overproduction,True
2024-01-22,Late Night,Weekday,926.87,0.03,0.0292,27.81,27.06,-0.75,Dropped Food,False
2024-01-22,Overnight,Weekday,630.35,0.03,0.0189,18.91,11.91,-7.0,UHC Expiration,False
2024-01-23,Opening,Weekday,229.06,0.03,0.0108,6.87,2.47,-4.4,Overproduction,False
2024-01-23,Early Breakfast,Weekday,1091.81,0.03,0.0303,32.75,33.08,0.33,UHC Expiration,False
2024-01-23,Late Breakfast,Weekday,1000.38,0.03,0.0333,30.01,33.31,3.3,Overproduction,False
2024-01-23,Lunch,Weekday,1201.15,0.03,0.0533,36.03,64.02,27.99,Overproduction,True
2024-01-23,Afternoon,Weekday,857.23,0.03,0.0214,25.72,18.34,-7.38,UHC Expiration,False
2024-01-23,Dinner,Weekday,1079.56,0.03,0.0409,32.39,44.15,11.76,Expired Vegetables,False
2024-01-23,Late Night,Weekday,779.85,0.03,0.0214,23.4,16.69,-6.71,Overproduction,False
2024-01-23,Overnight,Weekday,628.92,0.03,0.0156,18.87,9.81,-9.06,UHC Expiration,False
2024-01-24,Opening,Weekday,205.98,0.03,0.0144,6.18,2.97,-3.21,UHC Expiration,False
2024-01-24,Early Breakfast,Weekday,986.76,0.03,0.0245,29.6,24.18,-5.42,Wrong Order,False
2024-01-24,Late Breakfast,Weekday,1011.03,0.03,0.0328,30.33,33.16,2.83,Overproduction,False
2024-01-24,Lunch,Weekday,1188.39,0.03,0.056,35.65,66.55,30.9,Expired Vegetables,True
2024-01-24,Afternoon,Weekday,956.49,0.03,0.0182,28.69,17.41,-11.28,Overproduction,False
2024-01-24,Dinner,Weekday,1031.92,0.03,0.0519,30.96,53.56,22.6,Dropped Food,True
2024-01-24,Late Night,Weekday,812.47,0.03,0.033,24.37,26.81,2.44,UHC Expiration,False
2024-01-24,Overnight,Weekday,736.31,0.03,0.0154,22.09,11.34,-10.75,UHC Expiration,False
2024-01-25,Opening,Weekday,115.31,0.03,0.0149,3.46,1.72,-1.74,Expired Vegetables,False
2024-01-25,Early Breakfast,Weekday,482.96,0.03,0.0253,14.49,12.22,-2.27,UHC Expiration,False
2024-01-25,Late Breakfast,Weekday,571.77,0.03,0.0399,17.15,22.81,5.66,UHC Expiration,False
2024-01-25,Lunch,Weekday,579.72,0.03,0.0582,17.39,33.74,16.35,Wrong Order,True
2024-01-25,Afternoon,Weekday,447.41,0.03,0.0131,13.42,5.86,-7.56,Wrong Order,False
2024-01-25,Dinner,Weekday,522.47,0.03,0.0499,15.67,26.07,10.4,UHC Expiration,False
2024-01-25,Late Night,Weekday,437.31,0.03,0.0378,13.12,16.53,3.41,Overproduction,False
2024-01-25,Overnight,Weekday,346.44,0.03,0.0106,10.39,3.67,-6.72,UHC Expiration,False
2024-01-26,Opening,Friday,288.86,0.03,0.0132,8.67,3.81,-4.86,Dropped Food,False
2024-01-26,Early Breakfast,Friday,1104.82,0.03,0.0359,33.14,39.66,6.52,Expired Vegetables,False
2024-01-26,Late Breakfast,Friday,1544.59,0.03,0.0462,46.34,71.36,25.02,UHC Expiration,False
2024-01-26,Lunch,Friday,1612.94,0.03,0.0512,48.39,82.58,34.19,Overproduction,True
2024-01-26,Afternoon,Friday,1574.2,0.03,0.0229,47.23,36.05,-11.18,Expired Vegetables,False
2024-01-26,Dinner,Friday,1755.34,0.03,0.0413,52.66,72.5,19.84,Expired Vegetables,False
2024-01-26,Late Night,Friday,1123.59,0.03,0.032,33.71,35.95,2.24,UHC Expiration,False
2024-01-26,Overnight,Friday,823.47,0.03,0.0108,24.7,8.89,-15.81,Dropped Food,False
2024-01-27,Opening,Weekend,357.88,0.03,0.014,10.74,5.01,-5.73,Overproduction,False
2024-01-27,Early Breakfast,Weekend,1179.78,0.03,0.0293,35.39,34.57,-0.82,UHC Expiration,False
2024-01-27,Late Breakfast,Weekend,1742.37,0.03,0.0439,52.27,76.49,24.22,UHC Expiration,False
2024-01-27,Lunch,Weekend,2165.72,0.03,0.058,64.97,125.61,60.64,UHC Expiration,True
2024-01-27,Afternoon,Weekend,2310.74,0.03,0.0242,69.32,55.92,-13.4,Delivery Driver No Show:,False
2024-01-27,Dinner,Weekend,2292.03,0.03,0.0469,68.76,107.5,38.74,Overproduction,False
2024-01-27,Late Night,Weekend,1159.02,0.03,0.0307,34.77,35.58,0.81,Dropped Food,False
2024-01-27,Overnight,Weekend,1051.67,0.03,0.0127,31.55,13.36,-18.19,Overproduction,False
2024-01-28,Opening,Weekend,331.29,0.03,0.0101,9.94,3.35,-6.59,Overproduction,False
2024-01-28,Early Breakfast,Weekend,1159.01,0.03,0.0226,34.77,26.19,-8.58,Overproduction,False
2024-01-28,Late Breakfast,Weekend,1723.36,0.03,0.0481,51.7,82.89,31.19,Overproduction,False
2024-01-28,Lunch,Weekend,2204.74,0.03,0.0442,66.14,97.45,31.31,Expired Vegetables,False
2024-01-28,Afternoon,Weekend,1969.7,0.03,0.0171,59.09,33.68,-25.41,Overproduction,False
2024-01-28,Dinner,Weekend,2143.57,0.03,0.0439,64.31,94.1,29.79,Expired Vegetables,False
2024-01-28,Late Night,Weekend,1388.41,0.03,0.0323,41.65,44.85,3.2,Expired Vegetables,False
2024-01-28,Overnight,Weekend,1113.29,0.03,0.0131,33.4,14.58,-18.82,Expired Vegetables,False
2024-01-29,Opening,Weekday,218.08,0.03,0.0108,6.54,2.36,-4.18,Wrong Order,False
2024-01-29,Early Breakfast,Weekday,1025.98,0.03,0.0398,30.78,40.83,10.05,Expired Vegetables,False
2024-01-29,Late Breakfast,Weekday,1065.77,0.03,0.0489,31.97,52.12,20.15,Dropped Food,False
2024-01-29,Lunch,Weekday,989.76,0.03,0.0425,29.69,42.06,12.37,UHC Expiration,False
2024-01-29,Afternoon,Weekday,852.91,0.03,0.0105,25.59,8.96,-16.63,Expired Vegetables,False
2024-01-29,Dinner,Weekday,973.84,0.03,0.0522,29.22,50.83,21.61,Overproduction,True
2024-01-29,Late Night,Weekday,814.94,0.03,0.032,24.45,26.08,1.63,UHC Expiration,False
2024-01-29,Overnight,Weekday,665.48,0.03,0.0126,19.96,8.39,-11.57,Dropped Food,False
2024-01-30,Opening,Weekday,230.8,0.03,0.0199,6.92,4.59,-2.33,Expired Vegetables,False
2024-01-30,Early Breakfast,Weekday,1031.75,0.03,0.037,30.95,38.17,7.22,Wrong Order,False
2024-01-30,Late Breakfast,Weekday,1102.53,0.03,0.035,33.08,38.59,5.51,Expired Vegetables,False
2024-01-30,Lunch,Weekday,1070.54,0.03,0.0453,32.12,48.5,16.38,Expired Vegetables,False
2024-01-30,Afternoon,Weekday,910.99,0.03,0.0113,27.33,10.29,-17.04,Dropped Food,False
2024-01-30,Dinner,Weekday,1168.47,0.03,0.0487,35.05,56.9,21.85,Overproduction,False
2024-01-30,Late Night,Weekday,795.42,0.03,0.0294,23.86,23.39,-0.47,UHC Expiration,False
2024-01-30,Overnight,Weekday,687.66,0.03,0.0162,20.63,11.14,-9.49,UHC Expiration,False
2024-01-31,Opening,Weekday,115.33,0.03,0.019,3.46,2.19,-1.27,Wrong Order,False
2024-01-31,Early Breakfast,Weekday,541.87,0.03,0.0219,16.26,11.87,-4.39,Expired Vegetables,False
2024-01-31,Late Breakfast,Weekday,601.12,0.03,0.0467,18.03,28.07,10.04,UHC Expiration,False
2024-01-31,Lunch,Weekday,591.21,0.03,0.0486,17.74,28.73,10.99,UHC Expiration,False
2024-01-31,Afternoon,Weekday,510.45,0.03,0.0191,15.31,9.75,-5.56,Expired Vegetables,False
2024-01-31,Dinner,Weekday,529.83,0.03,0.0645,15.89,34.17,18.28,Dropped Food,True
2024-01-31,Late Night,Weekday,420.37,0.03,0.0243,12.61,10.21,-2.4,UHC Expiration,False
2024-01-31,Overnight,Weekday,317.29,0.03,0.0198,9.52,6.28,-3.24,Overproduction,False
2024-02-01,Opening,Weekday,203.21,0.03,0.019,6.1,3.86,-2.24,Expired Vegetables,False
2024-02-01,Early Breakfast,Weekday,1108.74,0.03,0.0202,33.26,22.4,-10.86,UHC Expiration,False
2024-02-01,Late Breakfast,Weekday,1141.59,0.03,0.0301,34.25,34.36,0.11,UHC Expiration,False
2024-02-01,Lunch,Weekday,1203.96,0.03,0.0502,36.12,60.44,24.32,Expired Vegetables,True
2024-02-01,Afternoon,Weekday,1002.86,0.03,0.0126,30.09,12.64,-17.45,UHC Expiration,False
2024-02-01,Dinner,Weekday,1016.25,0.03,0.0451,30.49,45.83,15.34,UHC Expiration,False
2024-02-01,Late Night,Weekday,901.0,0.03,0.0224,27.03,20.18,-6.85,Dropped Food,False
2024-02-01,Overnight,Weekday,658.81,0.03,0.0107,19.76,7.05,-12.71,UHC Expiration,False
2024-02-02,Opening,Friday,321.76,0.03,0.0141,9.65,4.54,-5.11,Overproduction,False
2024-02-02,Early Breakfast,Friday,1174.17,0.03,0.0393,35.23,46.14,10.91,UHC Expiration,False
2024-02-02,Late Breakfast,Friday,1389.88,0.03,0.0389,41.7,54.07,12.37,UHC Expiration,False
2024-02-02,Lunch,Friday,1724.46,0.03,0.0467,51.73,80.53,28.8,UHC Expiration,False
